#RPLIDAR SCAN DATA
#COUNT=1061
#Angule	Distance	Quality
93.2794 174.0 188
93.5925 174.0 188
93.9166 174.0 188
94.1858 175.0 188
94.4989 175.0 188
94.8230 175.0 188
95.1361 175.0 188
95.4657 175.0 188
95.7953 175.0 188
96.1084 175.0 188
96.4325 175.0 188
96.7017 176.0 188
97.0148 176.0 188
97.3389 176.0 188
97.6685 176.0 188
97.9816 176.0 188
98.2452 177.0 188
98.5748 177.0 188
98.8879 177.0 188
99.2175 177.0 188
99.5416 177.0 188
99.8547 178.0 188
100.1843 178.0 188
100.4974 178.0 188
100.8270 178.0 188
101.0907 179.0 188
101.4038 179.0 188
101.7334 179.0 188
102.0465 179.0 188
102.3102 180.0 188
102.6398 180.0 188
102.9529 180.0 188
103.2166 181.0 188
103.5461 181.0 188
103.8702 181.0 188
104.1833 181.0 188
104.5129 182.0 188
104.8260 182.0 188
105.1556 182.0 188
105.4193 183.0 188
105.7324 183.0 188
106.0620 183.0 188
106.3257 184.0 188
106.6388 184.0 188
106.9025 185.0 188
107.2321 185.0 188
107.5452 185.0 188
107.8748 186.0 188
108.1824 186.0 188
108.4515 187.0 188
108.7811 187.0 188
109.0887 187.0 188
109.3579 188.0 188
109.6875 188.0 188
109.9951 189.0 188
110.3247 189.0 188
110.5884 190.0 188
110.9180 190.0 188
111.2311 190.0 188
111.4948 191.0 188
111.8243 191.0 188
112.1375 192.0 188
112.4670 192.0 188
112.7307 193.0 188
113.0438 193.0 188
113.3075 194.0 188
113.6371 194.0 188
113.9502 195.0 188
114.2139 196.0 188
114.5435 196.0 188
114.8071 197.0 188
115.1202 197.0 188
115.4498 198.0 188
115.7629 198.0 188
116.0266 199.0 188
116.3562 199.0 188
116.6199 200.0 188
116.9330 201.0 188
117.2626 201.0 188
117.5262 202.0 188
117.8394 203.0 188
118.1689 203.0 188
118.4326 204.0 188
118.7018 205.0 188
119.0149 205.0 188
119.3390 206.0 188
119.6521 206.0 188
120.0421 204.0 188
121.5747 217.0 188
121.9482 214.0 188
122.3877 211.0 188
122.6514 212.0 188
122.9645 212.0 188
123.2941 212.0 188
123.6072 212.0 188
123.9368 213.0 188
124.2499 213.0 188
124.5740 213.0 188
124.8431 214.0 188
125.1562 214.0 188
125.4803 215.0 188
125.8099 215.0 188
126.1230 215.0 188
126.3867 216.0 188
126.7163 217.0 188
127.0294 217.0 188
127.3590 217.0 188
127.6227 218.0 188
127.9358 218.0 188
128.2654 219.0 188
128.5730 219.0 188
128.8422 220.0 188
129.1718 220.0 188
129.4794 221.0 188
129.7485 222.0 188
130.0781 222.0 188
130.3857 223.0 188
130.7153 223.0 188
130.9790 224.0 188
131.2921 225.0 188
131.6217 225.0 188
131.8744 226.0 188
132.1985 227.0 188
132.4677 228.0 188
132.7808 228.0 188
133.1049 229.0 188
133.3740 230.0 188
133.6871 231.0 188
133.9508 232.0 188
134.2804 233.0 188
134.5935 234.0 188
134.8572 235.0 188
135.1868 236.0 188
135.4340 237.0 188
135.7635 238.0 188
136.0272 239.0 188
136.3403 241.0 188
136.6040 242.0 188
136.9336 243.0 188
137.2028 245.0 188
137.4664 246.0 188
137.7795 248.0 188
138.0432 249.0 188
138.3563 250.0 188
138.6200 251.0 188
138.9496 253.0 188
139.2188 254.0 188
139.5264 255.0 188
139.7955 257.0 188
140.0592 259.0 188
140.3888 260.0 188
140.6525 262.0 188
140.9656 263.0 188
141.2292 265.0 188
141.5424 266.0 188
141.8115 268.0 188
142.1356 270.0 188
142.4048 272.0 188
142.7179 273.0 188
142.9816 275.0 188
143.2452 277.0 188
143.5583 279.0 188
143.8275 281.0 188
144.0912 283.0 188
144.4208 285.0 188
144.6844 287.0 188
144.9976 289.0 188
145.2612 291.0 188
145.5304 293.0 188
145.8545 295.0 188
146.1072 297.0 188
146.7004 301.0 188
152.3090 292.0 188
152.6385 292.0 188
152.9022 293.0 188
153.2153 293.0 188
153.5449 293.0 188
153.8580 294.0 188
154.1821 295.0 188
154.4952 294.0 188
154.8743 292.0 188
155.1984 291.0 188
155.5115 290.0 188
155.8411 290.0 188
156.1542 291.0 188
156.5277 289.0 188
156.8573 286.0 188
157.1704 288.0 188
157.5000 288.0 188
157.8076 287.0 188
158.1372 286.0 188
158.5107 285.0 188
158.8239 285.0 188
159.1534 284.0 188
159.4830 283.0 188
159.7961 284.0 188
160.1202 285.0 188
160.4993 282.0 188
160.8728 279.0 188
161.2024 279.0 188
161.5265 279.0 188
161.7957 280.0 188
162.1088 280.0 188
162.4988 278.0 188
162.8119 278.0 188
163.1360 279.0 188
163.4656 279.0 188
163.7787 279.0 188
164.1083 277.0 188
164.4818 275.0 188
164.8114 274.0 188
165.1245 274.0 188
165.4486 274.0 188
165.7782 274.0 188
166.0913 274.0 188
166.4648 273.0 188
166.7944 273.0 188
167.1240 272.0 188
167.4371 273.0 188
167.7008 275.0 188
168.0304 274.0 188
168.4039 273.0 188
168.7335 271.0 188
169.1071 270.0 188
169.4366 270.0 188
169.7498 270.0 188
170.0134 271.0 188
170.3430 271.0 188
170.6671 271.0 188
170.9802 271.0 188
171.3098 271.0 188
171.6833 270.0 188
172.0129 269.0 188
172.3260 270.0 188
172.6556 269.0 188
172.9797 269.0 188
173.2928 269.0 188
173.6224 269.0 188
173.9520 269.0 188
174.2651 268.0 188
174.5892 269.0 188
174.9188 270.0 188
175.2319 269.0 188
175.6055 267.0 188
175.9351 267.0 188
176.1987 268.0 188
176.5283 270.0 188
176.8414 270.0 188
177.1710 269.0 188
177.4951 268.0 188
177.8082 269.0 188
178.1378 268.0 188
178.5114 267.0 188
178.7805 268.0 188
179.1046 270.0 188
179.4177 270.0 188
179.7473 268.0 188
180.1208 267.0 188
180.3900 269.0 188
180.7141 270.0 188
180.9833 271.0 188
181.3568 270.0 188
181.6864 270.0 188
181.9995 269.0 188
182.3236 268.0 188
182.6532 268.0 188
182.9663 268.0 188
183.2959 269.0 188
183.6200 270.0 188
183.9331 270.0 188
184.2627 270.0 188
184.5923 270.0 188
184.8560 271.0 188
185.1691 273.0 188
185.4987 273.0 188
185.8228 272.0 188
186.2018 270.0 188
186.5149 270.0 188
186.8390 270.0 188
187.1686 270.0 188
187.4323 272.0 188
187.7014 274.0 188
188.0145 274.0 188
188.3386 274.0 188
188.6682 274.0 188
188.9813 275.0 188
189.2450 277.0 188
189.5746 278.0 188
189.9042 277.0 188
190.2777 274.0 188
190.6512 273.0 188
190.9204 274.0 188
191.2500 275.0 188
191.4972 277.0 188
191.8268 277.0 188
192.1509 277.0 188
192.4640 278.0 188
192.7936 279.0 188
193.1067 279.0 188
193.4363 279.0 188
193.7000 280.0 188
194.0295 280.0 188
194.3427 280.0 188
194.6667 280.0 188
194.9799 281.0 188
195.3094 281.0 188
195.6226 282.0 188
195.8862 283.0 188
196.2158 284.0 188
196.5454 285.0 188
196.8091 286.0 188
197.1222 287.0 188
197.4518 289.0 188
197.7155 290.0 188
198.0890 288.0 188
198.4186 286.0 188
198.7317 286.0 188
199.0613 288.0 188
199.3744 289.0 188
199.6381 290.0 188
199.9677 290.0 188
200.2808 291.0 188
200.5444 293.0 188
200.8740 294.0 188
201.1981 294.0 188
201.5112 295.0 188
201.8408 295.0 188
202.1539 294.0 188
202.4835 295.0 188
202.7472 297.0 188
203.0109 300.0 188
203.3405 301.0 188
203.6536 301.0 188
203.9832 300.0 188
204.2963 301.0 188
204.5599 304.0 188
204.8895 307.0 188
205.2026 306.0 188
205.5267 305.0 188
205.8563 305.0 188
206.1694 306.0 188
206.4331 309.0 188
206.7023 312.0 188
207.0264 312.0 188
207.3395 313.0 188
207.6086 316.0 188
207.9327 319.0 188
208.2019 320.0 188
209.1687 320.0 188
212.7612 319.0 188
213.1403 315.0 188
213.4479 312.0 188
213.8434 310.0 188
214.1510 308.0 188
214.5300 305.0 188
214.9200 302.0 188
215.2332 300.0 188
215.6067 298.0 188
215.9802 296.0 188
216.3098 293.0 188
216.6833 291.0 188
217.0129 290.0 188
217.3865 288.0 188
217.7655 285.0 188
218.0896 283.0 188
218.4686 281.0 188
218.7762 280.0 188
219.1718 278.0 188
219.5453 276.0 188
219.8584 274.0 188
220.2484 272.0 188
220.6219 270.0 188
220.9351 269.0 188
221.3251 267.0 188
221.6382 265.0 188
222.0117 264.0 188
222.3413 262.0 188
222.7148 261.0 188
223.0444 259.0 188
223.4180 257.0 188
223.7915 256.0 188
224.1211 255.0 188
224.4946 253.0 188
224.8242 252.0 188
225.1978 250.0 188
225.5109 249.0 188
225.8899 248.0 188
226.2140 247.0 188
226.5930 245.0 188
226.9171 244.0 188
227.2961 243.0 188
227.6202 242.0 188
227.9993 241.0 188
228.3124 240.0 188
228.7024 238.0 188
229.0155 237.0 188
229.3890 236.0 188
229.7186 235.0 188
230.0922 234.0 188
230.4218 234.0 188
230.7294 233.0 188
231.0590 232.0 188
231.4325 231.0 188
231.7621 230.0 188
232.1356 229.0 188
232.4652 229.0 188
232.7783 228.0 188
233.1079 228.0 188
233.4814 227.0 188
233.8110 226.0 188
234.1846 225.0 188
234.4977 224.0 188
234.8273 224.0 188
235.1514 224.0 188
235.4645 224.0 188
235.8435 222.0 188
236.2170 220.0 188
236.6071 219.0 188
236.9202 219.0 188
237.2498 219.0 188
237.5574 218.0 188
237.9529 217.0 188
238.3264 215.0 188
238.6395 215.0 188
238.9636 214.0 188
239.2932 214.0 188
239.6063 214.0 188
239.9799 213.0 188
240.3094 212.0 188
240.6390 212.0 188
241.0126 211.0 188
241.3257 211.0 188
241.7157 210.0 188
242.0288 210.0 188
242.3584 209.0 188
242.7319 208.0 188
243.0615 208.0 188
243.3746 208.0 188
243.6987 207.0 188
244.0118 207.0 188
244.4019 206.0 188
244.7150 206.0 188
245.0446 205.0 188
245.3577 205.0 188
245.7477 204.0 188
246.0608 204.0 188
246.3904 204.0 188
246.7639 203.0 188
247.0935 203.0 188
247.4011 203.0 188
247.7307 202.0 188
248.0438 202.0 188
248.3734 202.0 188
248.7469 201.0 188
249.0765 201.0 188
249.3896 200.0 188
249.7137 200.0 188
250.0269 200.0 188
250.4169 199.0 188
250.7300 199.0 188
251.0596 199.0 188
251.3727 199.0 188
251.7627 198.0 188
252.0758 198.0 188
252.4054 197.0 188
252.7185 197.0 188
253.0426 197.0 188
253.3722 197.0 188
253.7457 196.0 188
254.0588 196.0 188
254.3884 196.0 188
254.7015 196.0 188
255.0916 195.0 188
255.4047 195.0 188
255.7343 195.0 188
256.0419 195.0 188
256.3715 195.0 188
256.6846 194.0 188
257.0142 194.0 188
257.3273 194.0 188
257.6514 194.0 188
257.9645 194.0 188
258.2941 194.0 188
258.6676 193.0 188
258.9972 193.0 188
259.3103 193.0 188
259.6399 193.0 188
259.9530 193.0 188
260.2771 193.0 188
260.5902 193.0 188
260.9802 192.0 188
261.2933 192.0 188
261.6229 192.0 188
261.9360 192.0 188
262.2656 192.0 188
262.5732 192.0 188
262.9028 192.0 188
263.2159 192.0 188
263.5455 192.0 188
263.8586 192.0 188
264.1827 192.0 188
264.4958 192.0 188
264.8254 192.0 188
265.1550 192.0 188
265.4681 192.0 188
265.7922 191.0 188
266.1053 191.0 188
266.4349 192.0 188
266.7480 192.0 188
267.0776 192.0 188
267.3853 192.0 188
267.7148 191.0 188
268.0280 191.0 188
268.3575 192.0 188
268.6871 192.0 188
268.9948 192.0 188
269.3243 192.0 188
269.6375 192.0 188
269.9670 192.0 188
270.2802 192.0 188
270.6042 192.0 188
270.9174 192.0 188
271.2469 192.0 188
271.5601 192.0 188
271.8896 192.0 188
272.2028 192.0 188
272.5269 192.0 188
272.7960 193.0 188
273.1091 193.0 188
273.4332 193.0 188
273.7628 193.0 188
274.0759 193.0 188
274.4055 193.0 188
274.7186 193.0 188
275.0427 193.0 188
275.3119 194.0 188
275.6250 194.0 188
275.9491 194.0 188
276.2622 194.0 188
276.5918 194.0 188
276.9049 194.0 188
277.2290 195.0 188
277.5421 195.0 188
277.8717 195.0 188
278.2013 195.0 188
278.4485 196.0 188
278.7781 196.0 188
279.0912 196.0 188
279.4208 196.0 188
279.7449 196.0 188
280.0140 197.0 188
280.3271 197.0 188
280.6512 197.0 188
280.9644 197.0 188
281.2939 197.0 188
281.6071 198.0 188
281.9366 198.0 188
282.2498 198.0 188
282.5134 199.0 188
282.8430 199.0 188
283.1561 199.0 188
283.4198 200.0 188
283.7494 200.0 188
284.0625 200.0 188
284.3866 201.0 188
284.7162 201.0 188
285.0293 201.0 188
285.2930 202.0 188
285.6226 202.0 188
285.9357 202.0 188
286.2653 203.0 188
286.5729 203.0 188
286.9025 203.0 188
287.1716 204.0 188
287.4792 204.0 188
287.7484 205.0 188
288.0780 205.0 188
288.3856 205.0 188
288.7152 206.0 188
289.0448 206.0 188
289.3579 206.0 188
289.6216 207.0 188
289.9512 207.0 188
290.2643 208.0 188
290.5884 208.0 188
290.8575 209.0 188
291.1707 209.0 188
291.4948 210.0 188
291.8079 210.0 188
292.0770 211.0 188
292.4011 211.0 188
292.6703 212.0 188
292.9834 212.0 188
293.3075 213.0 188
293.6371 213.0 188
293.9062 214.0 188
294.2139 215.0 188
294.5435 215.0 188
294.8071 216.0 188
295.1202 217.0 188
295.4498 217.0 188
295.7135 218.0 188
296.0266 218.0 188
296.3562 219.0 188
296.6693 219.0 188
296.9330 220.0 188
297.2626 221.0 188
297.5757 221.0 188
297.8394 222.0 188
298.1689 223.0 188
298.4985 223.0 188
298.7622 224.0 188
299.0753 224.0 188
299.4049 225.0 188
299.6686 226.0 188
299.9817 227.0 188
300.2454 228.0 188
300.5750 228.0 188
300.8881 229.0 188
301.1517 230.0 188
301.4813 230.0 188
301.7944 231.0 188
302.0581 232.0 188
302.3877 233.0 188
302.7008 233.0 188
303.0304 234.0 188
303.2941 235.0 188
303.6237 236.0 188
303.8873 237.0 188
304.2004 238.0 188
304.4641 239.0 188
304.7937 240.0 188
305.1068 240.0 188
305.4364 241.0 188
305.7001 242.0 188
306.0132 243.0 188
306.2769 244.0 188
306.6064 245.0 188
306.8701 246.0 188
307.1832 247.0 188
307.5128 248.0 188
307.7765 249.0 188
308.0896 250.0 188
308.3588 251.0 188
308.6829 252.0 188
309.0125 253.0 188
309.2651 254.0 188
309.5892 255.0 188
309.9188 256.0 188
310.1825 257.0 188
310.4517 259.0 188
310.7648 260.0 188
311.0889 261.0 188
311.3580 262.0 188
311.6711 263.0 188
311.9348 265.0 188
312.2644 266.0 188
312.5775 267.0 188
312.8412 268.0 188
313.1708 270.0 188
313.4344 271.0 188
313.7640 272.0 188
314.0277 274.0 188
314.3408 275.0 188
314.6045 277.0 188
314.9341 278.0 188
315.2637 279.0 188
315.5273 281.0 188
315.7965 283.0 188
316.1041 284.0 188
316.7633 285.0 188
317.6697 288.0 188
319.5593 292.0 188
320.5756 288.0 188
320.9491 284.0 188
321.3391 282.0 188
321.6522 281.0 188
322.0422 279.0 188
322.3553 278.0 188
322.6849 277.0 188
323.0585 275.0 188
323.3881 274.0 188
323.7616 273.0 188
324.0912 272.0 188
324.4647 270.0 188
324.7943 269.0 188
325.1074 268.0 188
325.4974 267.0 188
325.8105 266.0 188
326.1401 265.0 188
326.5137 263.0 188
326.8433 262.0 188
327.1674 262.0 188
327.5464 260.0 188
327.8705 259.0 188
328.2495 258.0 188
328.5571 257.0 188
328.8867 257.0 188
329.2603 256.0 188
329.5898 255.0 188
329.9194 254.0 188
330.2930 253.0 188
330.6226 252.0 188
330.9357 251.0 188
331.3257 250.0 188
331.6388 250.0 188
331.9684 249.0 188
332.3419 248.0 188
332.6715 247.0 188
332.9956 247.0 188
333.3087 246.0 188
333.6823 245.0 188
334.0118 244.0 188
334.3414 244.0 188
334.7150 243.0 188
335.0446 242.0 188
335.3577 242.0 188
335.7477 241.0 188
336.0608 241.0 188
336.3904 240.0 188
336.7145 240.0 188
337.0276 239.0 188
337.4176 238.0 188
337.7307 238.0 188
338.0603 237.0 188
338.4338 236.0 188
338.7634 236.0 188
339.0930 235.0 188
339.4061 235.0 188
339.7797 234.0 188
340.1093 234.0 188
340.4333 234.0 188
340.7465 233.0 188
341.0760 233.0 188
341.4056 232.0 188
341.7792 231.0 188
342.1088 231.0 188
342.4219 230.0 188
342.7460 230.0 188
343.0756 230.0 188
343.4491 229.0 188
343.7787 229.0 188
344.0918 229.0 188
344.4214 229.0 188
344.7455 228.0 188
345.0586 228.0 188
345.3882 228.0 188
345.7178 228.0 188
346.0309 229.0 188
346.2451 232.0 188
346.5143 236.0 188
346.7780 238.0 188
347.1075 238.0 188
347.4207 238.0 188
347.7448 238.0 188
348.0743 237.0 188
348.3875 237.0 188
348.7170 237.0 188
349.0466 237.0 188
349.3542 237.0 188
349.7498 236.0 188
350.0574 236.0 188
350.3870 236.0 188
350.7166 236.0 188
351.0297 236.0 188
351.3593 236.0 188
351.6833 235.0 188
351.9965 235.0 188
352.3260 235.0 188
352.6556 235.0 188
352.9688 235.0 188
353.2928 235.0 188
353.6224 235.0 188
353.9355 235.0 188
354.2651 235.0 188
354.5892 235.0 188
354.9023 235.0 188
355.2319 235.0 188
355.5615 235.0 188
355.8746 235.0 188
356.1987 235.0 188
356.5283 235.0 188
356.8414 235.0 188
357.1710 235.0 188
357.4951 235.0 188
