timestamp,AccX,AccY,AccZ
1622551707137,-2.8790276050567627,3.3028011322021484,7.924807548522949
1622551707207,-1.8830395936965942,,
1622551707208,,3.0885202884674072,7.745242595672607
1622551707261,-5.634753704071045,3.5673606395721436,9.519346237182617
1622551707327,-4.0078935623168945,2.1715409755706787,7.645883083343506
1622551707394,-5.055356979370117,2.985569477081299,7.044938564300537
1622551707460,-2.9508535861968994,,8.803479194641113
1622551707461,,2.8455088138580322,
1622551707527,-4.4639892578125,3.137601375579834,8.556877136230469
1622551707594,-3.535038709640503,4.490325450897217,6.111199855804443
1622551707666,-4.028244495391846,3.068169593811035,8.38688850402832
1622551707735,-5.196614742279053,3.6296098232269287,7.975085735321045
1622551707806,-4.9152960777282715,2.8419175148010254,8.688557624816895
1622551707862,-5.336675643920898,2.477998733520508,7.402871608734131
1622551707930,-5.510255336761475,1.8962076902389526,9.070432662963867
1622551708001,-3.1316158771514893,0.6991068720817566,5.390544891357422
1622551708065,-8.482656478881836,-1.294066071510315,4.702212333679199
1622551708137,-7.5848307609558105,-0.16759411990642548,3.400963544845581
1622551708195,-11.042057991027832,,
1622551708196,,0.6153098344802856,-2.898181200027466
1622551708276,-15.209166526794434,-1.169567584991455,-0.06344634294509888
1622551708328,-15.137340545654297,,
1622551708329,,0.3256114423274994,-3.9264907836914062
1622551708415,-12.634202003479004,,
1622551708416,,-0.4800374507904053,-5.78678560256958
1622551708463,-9.514557838439941,-1.599326729774475,-0.3076549172401428
1622551708528,-5.118803024291992,-3.397372245788574,4.060565948486328
1622551708600,-7.224503517150879,-2.5019407272338867,-1.8279730081558228
1622551708665,-5.991489887237549,,
1622551708666,,-3.163937568664551,-0.6009446382522583
1622551708891,-13.040019989013672,,3.8534677028656006
1622551708892,,-2.606088638305664,1.6855180263519287
1622551708928,-0.6967126727104187,-8.777143478393555,0.04429273307323456
1622551708995,-1.4724340438842773,-9.704896926879883,-1.45806884765625
1622551709060,-3.824737310409546,,
